Scenario,Algorithm,Total Tasks,High Priority Tasks,Low Priority Tasks,High Met Deadline,Low Met Deadline,Total Met Deadline,High Success Rate (%),Low Success Rate (%),Total Success Rate (%),Makespan,Composite Performance Score (%),Avg Response Time,Avg Waiting Time,Simulation Time
Extreme 3: SPT Fails,EDF,4,4,0,4,0,4,100.0,0,100.0,10,100.0,7.5,6.0,10
Extreme 3: SPT Fails,Priority-First,4,4,0,4,0,4,100.0,0,100.0,10,100.0,7.5,6.0,10
Extreme 3: SPT Fails,DPE (α=0.3),4,4,0,4,0,4,100.0,0,100.0,10,100.0,7.5,6.0,10
Extreme 3: SPT Fails,DPE (α=0.5),4,4,0,4,0,4,100.0,0,100.0,10,100.0,7.5,6.0,10
Extreme 3: SPT Fails,DPE (α=0.7),4,4,0,4,0,4,100.0,0,100.0,10,100.0,7.5,6.0,10
Extreme 3: SPT Fails,DPE (α=0.9),4,4,0,4,0,4,100.0,0,100.0,10,100.0,7.5,6.0,10
Extreme 4: Multiple Starvation,SPT,9,6,3,6,3,9,100.0,100.0,100.0,12,100.0,3.67,1.29,12
Extreme 4: Multiple Starvation,EDF,9,6,3,6,3,9,100.0,100.0,100.0,12,100.0,4.33,2.14,12
Extreme 4: Multiple Starvation,Priority-First,9,6,3,6,3,9,100.0,100.0,100.0,12,100.0,3.67,1.29,12
Extreme 4: Multiple Starvation,DPE (α=0.3),9,6,3,6,3,9,100.0,100.0,100.0,12,100.0,3.67,1.29,12
Extreme 4: Multiple Starvation,DPE (α=0.5),9,6,3,6,3,9,100.0,100.0,100.0,12,100.0,3.67,1.29,12
Extreme 4: Multiple Starvation,DPE (α=0.7),9,6,3,6,3,9,100.0,100.0,100.0,12,100.0,3.67,1.29,12
Extreme 4: Multiple Starvation,DPE (α=0.9),9,6,3,6,3,9,100.0,100.0,100.0,12,100.0,3.67,1.29,12
Extreme 5: Priority-First Impossible,SPT,3,2,1,2,0,2,100.0,0.0,66.67,10,80.0,5.67,3.5,10
Extreme 5: Priority-First Impossible,EDF,3,2,1,2,1,3,100.0,100.0,100.0,10,100.0,7.67,6.5,10
Extreme 5: Priority-First Impossible,Priority-First,3,2,1,2,0,2,100.0,0.0,66.67,10,80.0,6.0,4.0,10
Extreme 5: Priority-First Impossible,DPE (α=0.3),3,2,1,2,0,2,100.0,0.0,66.67,10,80.0,7.0,5.5,10
Extreme 5: Priority-First Impossible,DPE (α=0.5),3,2,1,2,0,2,100.0,0.0,66.67,10,80.0,6.0,4.0,10
Extreme 5: Priority-First Impossible,DPE (α=0.7),3,2,1,2,0,2,100.0,0.0,66.67,10,80.0,6.0,4.0,10
Extreme 5: Priority-First Impossible,DPE (α=0.9),3,2,1,2,0,2,100.0,0.0,66.67,10,80.0,6.0,4.0,10
Advanced 1: Multi-Machine Balance,SPT,16,8,8,8,8,16,100.0,100.0,100.0,18,100.0,3.31,0.25,18
Advanced 1: Multi-Machine Balance,EDF,16,8,8,8,8,16,100.0,100.0,100.0,18,100.0,3.31,0.25,18
Advanced 1: Multi-Machine Balance,Priority-First,16,8,8,8,8,16,100.0,100.0,100.0,18,100.0,3.31,0.25,18
Advanced 1: Multi-Machine Balance,DPE (α=0.3),16,8,8,8,8,16,100.0,100.0,100.0,18,100.0,3.31,0.25,18
Advanced 1: Multi-Machine Balance,DPE (α=0.5),16,8,8,8,8,16,100.0,100.0,100.0,18,100.0,3.31,0.25,18
Advanced 1: Multi-Machine Balance,DPE (α=0.7),16,8,8,8,8,16,100.0,100.0,100.0,18,100.0,3.31,0.25,18
Advanced 1: Multi-Machine Balance,DPE (α=0.9),16,8,8,8,8,16,100.0,100.0,100.0,18,100.0,3.31,0.25,18
Advanced 2: Machine Saturation,SPT,20,15,5,15,5,20,100.0,100.0,100.0,21,97.56,6.65,4.35,21
Advanced 2: Machine Saturation,EDF,20,15,5,15,5,20,100.0,100.0,100.0,21,97.56,6.8,4.53,21
Advanced 2: Machine Saturation,Priority-First,20,15,5,15,5,20,100.0,100.0,100.0,21,97.56,6.8,4.53,21
Advanced 2: Machine Saturation,DPE (α=0.3),20,15,5,15,5,20,100.0,100.0,100.0,20,100.0,6.8,4.53,20
Advanced 2: Machine Saturation,DPE (α=0.5),20,15,5,15,5,20,100.0,100.0,100.0,21,97.56,6.8,4.53,21
Advanced 2: Machine Saturation,DPE (α=0.7),20,15,5,15,5,20,100.0,100.0,100.0,21,97.56,6.8,4.53,21
Advanced 2: Machine Saturation,DPE (α=0.9),20,15,5,15,5,20,100.0,100.0,100.0,21,97.56,6.8,4.53,21
Advanced 3: Burst Arrival,SPT,12,6,6,6,6,12,100.0,100.0,100.0,22,100.0,4.42,1.8,22
Advanced 3: Burst Arrival,EDF,12,6,6,6,6,12,100.0,100.0,100.0,22,100.0,4.42,1.8,22
Advanced 3: Burst Arrival,Priority-First,12,6,6,6,6,12,100.0,100.0,100.0,22,100.0,4.42,1.8,22
Advanced 3: Burst Arrival,DPE (α=0.3),12,6,6,6,6,12,100.0,100.0,100.0,22,100.0,4.42,1.8,22
Advanced 3: Burst Arrival,DPE (α=0.5),12,6,6,6,6,12,100.0,100.0,100.0,22,100.0,4.42,1.8,22
Advanced 3: Burst Arrival,DPE (α=0.7),12,6,6,6,6,12,100.0,100.0,100.0,22,100.0,4.42,1.8,22
Advanced 3: Burst Arrival,DPE (α=0.9),12,6,6,6,6,12,100.0,100.0,100.0,22,100.0,4.42,1.8,22
Advanced 4: Web Server Workload,SPT,13,10,3,10,3,13,100.0,100.0,100.0,19,100.0,3.85,1.36,19
Advanced 4: Web Server Workload,EDF,13,10,3,10,3,13,100.0,100.0,100.0,19,100.0,3.85,1.36,19
Advanced 4: Web Server Workload,Priority-First,13,10,3,10,3,13,100.0,100.0,100.0,19,100.0,3.85,1.36,19
Advanced 4: Web Server Workload,DPE (α=0.3),13,10,3,10,3,13,100.0,100.0,100.0,19,100.0,3.85,1.36,19
Advanced 4: Web Server Workload,DPE (α=0.5),13,10,3,10,3,13,100.0,100.0,100.0,19,100.0,3.85,1.36,19
Advanced 4: Web Server Workload,DPE (α=0.7),13,10,3,10,3,13,100.0,100.0,100.0,19,100.0,3.85,1.36,19
Advanced 4: Web Server Workload,DPE (α=0.9),13,10,3,10,3,13,100.0,100.0,100.0,19,100.0,3.85,1.36,19
Advanced 5: Database Workload,SPT,14,12,2,11,2,13,91.67,100.0,92.86,27,96.3,5.14,2.42,27
Advanced 5: Database Workload,EDF,14,12,2,12,2,14,100.0,100.0,100.0,27,100.0,5.5,2.83,27
Advanced 5: Database Workload,Priority-First,14,12,2,12,2,14,100.0,100.0,100.0,27,100.0,5.5,2.83,27
Advanced 5: Database Workload,DPE (α=0.3),14,12,2,12,2,14,100.0,100.0,100.0,27,100.0,5.5,2.83,27
Advanced 5: Database Workload,DPE (α=0.5),14,12,2,12,2,14,100.0,100.0,100.0,27,100.0,5.5,2.83,27
Advanced 5: Database Workload,DPE (α=0.7),14,12,2,12,2,14,100.0,100.0,100.0,27,100.0,5.5,2.83,27
Advanced 5: Database Workload,DPE (α=0.9),14,12,2,12,2,14,100.0,100.0,100.0,27,100.0,5.5,2.83,27
New 1: Deadline Gradient,SPT,10,0,10,0,8,8,0,80.0,80.0,15,88.89,5.0,2.5,15
New 1: Deadline Gradient,EDF,10,0,10,0,8,8,0,80.0,80.0,15,88.89,5.0,2.5,15
New 1: Deadline Gradient,Priority-First,10,0,10,0,8,8,0,80.0,80.0,15,88.89,5.0,2.5,15
